hz,v_rms_per_rthz
705.00,7.6383e-07
706.00,1.2256e-06
707.00,1.0654e-06
708.00,1.0463e-06
709.00,1.0223e-06
710.00,9.5863e-07
711.00,8.7478e-07
712.00,1.0205e-06
713.00,9.8761e-07
714.00,1.1908e-06
715.00,1.0972e-06
716.00,9.6111e-07
717.00,9.7032e-07
718.00,9.3640e-07
719.00,1.0446e-06
720.00,1.0392e-06
721.00,9.4526e-07
722.00,1.0705e-06
723.00,9.2097e-07
724.00,9.2458e-07
725.00,1.1275e-06
726.00,1.0866e-06
727.00,1.0637e-06
728.00,9.0119e-07
729.00,1.0044e-06
730.00,9.2689e-07
731.00,1.0259e-06
732.00,1.0030e-06
733.00,7.1500e-07
734.00,1.0064e-06
735.00,1.0051e-06
736.00,1.0339e-06
737.00,8.2209e-07
738.00,1.0117e-06
739.00,9.9271e-07
740.00,1.1839e-06
741.00,1.1789e-06
742.00,9.0841e-07
743.00,8.6639e-07
744.00,9.3927e-07
745.00,9.1225e-07
746.00,9.1542e-07
747.00,8.6010e-07
748.00,1.1594e-06
749.00,1.1167e-06
750.00,1.0932e-06
751.00,1.0397e-06
752.00,1.1086e-06
753.00,9.6138e-07
754.00,1.0105e-06
755.00,9.5655e-07
756.00,9.9847e-07
757.00,1.0653e-06
758.00,1.0499e-06
759.00,8.5048e-07
760.00,9.5716e-07
761.00,9.1137e-07
762.00,8.6113e-07
763.00,9.8393e-07
764.00,1.0229e-06
765.00,1.0828e-06
766.00,9.8823e-07
767.00,1.0397e-06
768.00,1.0190e-06
769.00,9.9088e-07
770.00,1.0281e-06
771.00,1.0286e-06
772.00,8.8067e-07
773.00,1.0289e-06
774.00,9.9618e-07
775.00,1.1214e-06
776.00,9.2874e-07
777.00,9.1414e-07
778.00,9.6864e-07
779.00,1.1110e-06
780.00,1.1982e-06
781.00,7.7663e-07
782.00,1.0733e-06
783.00,1.1320e-06
784.00,9.1833e-07
785.00,9.9914e-07
786.00,1.0007e-06
787.00,1.1714e-06
788.00,1.1303e-06
789.00,9.5737e-07
790.00,9.9383e-07
791.00,1.2209e-06
792.00,9.3380e-07
793.00,1.0489e-06
794.00,1.0168e-06
795.00,9.1309e-07
796.00,1.0124e-06
797.00,1.0457e-06
798.00,1.0257e-06
799.00,1.0335e-06
800.00,8.3344e-07
801.00,9.1779e-07
802.00,8.6989e-07
803.00,8.9797e-07
804.00,1.0632e-06
805.00,9.7823e-07
806.00,8.7811e-07
807.00,1.0660e-06
808.00,1.0707e-06
809.00,9.9204e-07
810.00,9.0423e-07
811.00,1.0409e-06
812.00,1.1551e-06
813.00,1.2256e-06
814.00,9.6459e-07
815.00,8.6930e-07
816.00,9.3576e-07
817.00,1.0165e-06
818.00,1.0608e-06
819.00,9.7623e-07
820.00,9.8180e-07
821.00,1.0569e-06
822.00,9.9933e-07
823.00,7.2975e-07
824.00,7.1357e-07
825.00,8.5725e-07
826.00,9.5904e-07
827.00,1.0277e-06
828.00,1.1328e-06
829.00,1.0556e-06
830.00,8.9144e-07
831.00,9.7231e-07
832.00,1.0096e-06
833.00,1.0673e-06
834.00,9.1198e-07
835.00,9.1139e-07
836.00,8.5525e-07
837.00,9.2957e-07
838.00,8.6954e-07
839.00,8.3919e-07
840.00,9.5580e-07
841.00,1.3696e-06
842.00,1.2067e-06
843.00,1.1278e-06
844.00,1.1222e-06
845.00,8.3056e-07
846.00,1.0088e-06
847.00,1.0182e-06
848.00,1.1588e-06
849.00,1.1357e-06
850.00,1.2697e-06
851.00,1.2683e-06
852.00,1.1965e-06
853.00,1.1039e-06
854.00,8.4243e-07
855.00,8.7114e-07
856.00,1.0958e-06
857.00,8.5102e-07
858.00,1.1935e-06
859.00,1.1204e-06
860.00,9.4308e-07
861.00,9.0393e-07
862.00,9.0374e-07
863.00,1.0736e-06
864.00,1.0610e-06
865.00,1.1704e-06
866.00,1.1533e-06
867.00,9.4147e-07
868.00,8.7159e-07
869.00,8.6143e-07
870.00,1.0922e-06
871.00,1.2690e-06
872.00,1.1305e-06
873.00,9.0768e-07
874.00,8.6978e-07
875.00,9.4945e-07
876.00,1.0993e-06
877.00,9.8357e-07
878.00,8.1767e-07
879.00,1.0757e-06
880.00,1.0272e-06
881.00,1.0237e-06
882.00,1.0383e-06
883.00,1.2156e-06
884.00,1.1337e-06
885.00,1.1244e-06
886.00,9.8191e-07
887.00,7.2460e-07
888.00,1.0800e-06
889.00,1.1364e-06
890.00,9.0349e-07
891.00,8.7161e-07
892.00,1.2808e-06
893.00,8.8738e-07
894.00,8.5900e-07
895.00,1.0622e-06
