hz,v_rms_per_rthz
515.00,1.0074e-06
516.00,9.3131e-07
517.00,1.0905e-06
518.00,1.0389e-06
519.00,1.0634e-06
520.00,1.1087e-06
521.00,9.3080e-07
522.00,1.1896e-06
523.00,1.2485e-06
524.00,1.0519e-06
525.00,1.1377e-06
526.00,1.1710e-06
527.00,1.1066e-06
528.00,1.0633e-06
529.00,1.3054e-06
530.00,1.2973e-06
531.00,9.1476e-07
532.00,1.1365e-06
533.00,1.1361e-06
534.00,1.1954e-06
535.00,1.0637e-06
536.00,8.8894e-07
537.00,1.0018e-06
538.00,1.1700e-06
539.00,1.3164e-06
540.00,1.2006e-06
541.00,1.0617e-06
542.00,1.0972e-06
543.00,8.3167e-07
544.00,8.9214e-07
545.00,9.8837e-07
546.00,9.4967e-07
547.00,1.0285e-06
548.00,1.1532e-06
549.00,1.0130e-06
550.00,9.7729e-07
551.00,1.0183e-06
552.00,1.0638e-06
553.00,1.1281e-06
554.00,1.0298e-06
555.00,1.0200e-06
556.00,1.0343e-06
557.00,9.6294e-07
558.00,1.0338e-06
559.00,1.0473e-06
560.00,8.8131e-07
561.00,1.1589e-06
562.00,1.1189e-06
563.00,1.1003e-06
564.00,1.0667e-06
565.00,1.0440e-06
566.00,1.0740e-06
567.00,1.0163e-06
568.00,8.7719e-07
569.00,9.9321e-07
570.00,1.3048e-06
571.00,1.0408e-06
572.00,8.5982e-07
573.00,9.4337e-07
574.00,1.0570e-06
575.00,1.0794e-06
576.00,9.6659e-07
577.00,1.2765e-06
578.00,1.2275e-06
579.00,8.9357e-07
580.00,8.2092e-07
581.00,1.1727e-06
582.00,1.0541e-06
583.00,1.2503e-06
584.00,1.0513e-06
585.00,1.0714e-06
586.00,9.9665e-07
587.00,1.1124e-06
588.00,9.2445e-07
589.00,1.0023e-06
590.00,8.3395e-07
591.00,7.2410e-07
592.00,8.2920e-07
593.00,1.0349e-06
594.00,1.1591e-06
595.00,8.1772e-07
596.00,9.7989e-07
597.00,9.0867e-07
598.00,9.7531e-07
599.00,9.0867e-07
600.00,1.0215e-06
601.00,1.1740e-06
602.00,1.1507e-06
603.00,9.6760e-07
604.00,9.4142e-07
605.00,1.2105e-06
606.00,1.1907e-06
607.00,1.1133e-06
608.00,1.2295e-06
609.00,1.1965e-06
610.00,1.1617e-06
611.00,1.1444e-06
612.00,1.0806e-06
613.00,9.4165e-07
614.00,1.0095e-06
615.00,9.3271e-07
616.00,1.0575e-06
617.00,1.2015e-06
618.00,1.0590e-06
619.00,1.0367e-06
620.00,1.0869e-06
621.00,1.2144e-06
622.00,1.1896e-06
623.00,1.0977e-06
624.00,1.0544e-06
625.00,9.5349e-07
626.00,9.9058e-07
627.00,9.5302e-07
628.00,1.1767e-06
629.00,1.2289e-06
630.00,1.0555e-06
631.00,9.8571e-07
632.00,9.4892e-07
633.00,9.7592e-07
634.00,9.7011e-07
635.00,1.0248e-06
636.00,9.5946e-07
637.00,1.2673e-06
638.00,1.1967e-06
639.00,1.0678e-06
640.00,9.7466e-07
641.00,1.1891e-06
642.00,1.0032e-06
643.00,9.3963e-07
644.00,9.0554e-07
645.00,9.7742e-07
646.00,1.1146e-06
647.00,9.9137e-07
648.00,1.0453e-06
649.00,8.3314e-07
650.00,8.1189e-07
651.00,8.1973e-07
652.00,9.2906e-07
653.00,8.9421e-07
654.00,1.2339e-06
655.00,1.0536e-06
656.00,1.0674e-06
657.00,1.1151e-06
658.00,1.1349e-06
659.00,9.6407e-07
660.00,1.0516e-06
661.00,9.7548e-07
662.00,9.6309e-07
663.00,9.6751e-07
664.00,1.0421e-06
665.00,1.0977e-06
666.00,9.8390e-07
667.00,9.7747e-07
668.00,1.0353e-06
669.00,9.6616e-07
670.00,1.0640e-06
671.00,7.0271e-07
672.00,8.2343e-07
673.00,9.0370e-07
674.00,9.4164e-07
675.00,1.0355e-06
676.00,8.4492e-07
677.00,7.6472e-07
678.00,8.8801e-07
679.00,8.9328e-07
680.00,1.0067e-06
681.00,1.0731e-06
682.00,1.3466e-06
683.00,1.0204e-06
684.00,1.0067e-06
685.00,9.4791e-07
686.00,1.1346e-06
687.00,8.7909e-07
688.00,9.9077e-07
689.00,8.5079e-07
690.00,1.0062e-06
691.00,8.8747e-07
692.00,8.3772e-07
693.00,9.4721e-07
694.00,1.1994e-06
695.00,1.1486e-06
696.00,1.2597e-06
697.00,1.0314e-06
698.00,9.5551e-07
699.00,9.9955e-07
700.00,9.4918e-07
701.00,9.1687e-07
702.00,1.0218e-06
703.00,8.8333e-07
704.00,1.2107e-06
705.00,1.2600e-06
706.00,1.2218e-06
707.00,8.4314e-07
708.00,9.8984e-07
709.00,8.7385e-07
710.00,1.1351e-06
711.00,9.3027e-07
712.00,1.0706e-06
713.00,8.3263e-07
714.00,9.3057e-07
715.00,8.6535e-07
716.00,1.0363e-06
717.00,1.0389e-06
718.00,1.1081e-06
719.00,9.0638e-07
720.00,1.1125e-06
721.00,1.1048e-06
722.00,1.1113e-06
723.00,1.0542e-06
724.00,1.0287e-06
725.00,9.7896e-07
726.00,1.0735e-06
727.00,9.2976e-07
728.00,1.1081e-06
729.00,1.2262e-06
730.00,1.0452e-06
731.00,1.0950e-06
732.00,8.7987e-07
733.00,9.8271e-07
734.00,1.0106e-06
735.00,1.0489e-06
736.00,1.0136e-06
737.00,9.8916e-07
738.00,7.3542e-07
739.00,8.8122e-07
740.00,1.0453e-06
741.00,8.7224e-07
742.00,1.0160e-06
743.00,9.3666e-07
744.00,9.1918e-07
745.00,1.0217e-06
746.00,9.4476e-07
747.00,1.1598e-06
748.00,1.1157e-06
749.00,1.0070e-06
750.00,9.2809e-07
751.00,8.7295e-07
752.00,1.0605e-06
753.00,7.8468e-07
754.00,1.1311e-06
755.00,1.2159e-06
756.00,1.0673e-06
757.00,1.2245e-06
758.00,1.1950e-06
759.00,1.1053e-06
760.00,1.1624e-06
761.00,1.1977e-06
762.00,9.7741e-07
763.00,8.9147e-07
764.00,9.7229e-07
765.00,8.1786e-07
766.00,1.0063e-06
767.00,1.1585e-06
768.00,1.1393e-06
769.00,1.2088e-06
770.00,9.6756e-07
771.00,1.1352e-06
772.00,1.0667e-06
773.00,1.0281e-06
774.00,9.4217e-07
775.00,8.9991e-07
776.00,7.8886e-07
777.00,7.9043e-07
778.00,9.5510e-07
779.00,1.0455e-06
780.00,8.7883e-07
781.00,1.0067e-06
782.00,9.6912e-07
783.00,8.4253e-07
784.00,1.0647e-06
785.00,1.1299e-06
786.00,1.0577e-06
787.00,1.1430e-06
788.00,9.4441e-07
789.00,9.7644e-07
790.00,1.1360e-06
791.00,1.0004e-06
792.00,1.0658e-06
793.00,1.1318e-06
794.00,1.0473e-06
795.00,1.0819e-06
796.00,1.1042e-06
797.00,1.0935e-06
798.00,8.9609e-07
799.00,8.4199e-07
800.00,9.6080e-07
801.00,8.5834e-07
802.00,1.0476e-06
803.00,1.0845e-06
804.00,1.0947e-06
805.00,1.0036e-06
806.00,9.1222e-07
807.00,7.5838e-07
808.00,9.7135e-07
809.00,8.8320e-07
810.00,1.0085e-06
811.00,1.1604e-06
812.00,9.7628e-07
813.00,1.0751e-06
814.00,1.2260e-06
815.00,1.0707e-06
816.00,1.0542e-06
817.00,9.7302e-07
818.00,9.2475e-07
819.00,9.7807e-07
820.00,7.2467e-07
821.00,8.3893e-07
822.00,1.0900e-06
823.00,8.9830e-07
824.00,9.8307e-07
825.00,1.1452e-06
826.00,1.1768e-06
827.00,8.4411e-07
828.00,9.7456e-07
829.00,1.0403e-06
830.00,9.7086e-07
831.00,9.5667e-07
832.00,7.9504e-07
833.00,9.5054e-07
834.00,9.4898e-07
835.00,9.0216e-07
836.00,1.0165e-06
837.00,8.7400e-07
838.00,9.8249e-07
839.00,8.5991e-07
840.00,7.0252e-07
841.00,7.8005e-07
842.00,1.0080e-06
843.00,1.0284e-06
844.00,9.7505e-07
845.00,1.0626e-06
846.00,8.9500e-07
847.00,9.6213e-07
848.00,8.0194e-07
849.00,1.0276e-06
850.00,9.3426e-07
851.00,9.2747e-07
852.00,1.0410e-06
853.00,9.2733e-07
854.00,1.1085e-06
855.00,8.9972e-07
856.00,8.0602e-07
857.00,1.0780e-06
858.00,9.9598e-07
859.00,1.0118e-06
860.00,8.8964e-07
861.00,9.2079e-07
862.00,9.1286e-07
863.00,9.7813e-07
864.00,8.3285e-07
865.00,8.7748e-07
866.00,8.5789e-07
867.00,9.7561e-07
868.00,9.8303e-07
869.00,8.3149e-07
870.00,9.4804e-07
871.00,1.1906e-06
872.00,1.0938e-06
873.00,1.2184e-06
874.00,1.0735e-06
875.00,9.7734e-07
876.00,1.1983e-06
877.00,9.0040e-07
878.00,8.3476e-07
879.00,9.5928e-07
880.00,8.6945e-07
881.00,8.0072e-07
882.00,7.2502e-07
883.00,8.9386e-07
884.00,1.1048e-06
885.00,1.0661e-06
886.00,1.0552e-06
887.00,8.5618e-07
888.00,8.7956e-07
889.00,9.8914e-07
890.00,1.0770e-06
891.00,1.1046e-06
892.00,9.3668e-07
893.00,1.0053e-06
894.00,6.5178e-07
895.00,9.1450e-07
896.00,7.3101e-07
897.00,8.7434e-07
898.00,8.0191e-07
899.00,9.6882e-07
900.00,1.0260e-06
901.00,8.9904e-07
902.00,7.7566e-07
903.00,8.0900e-07
904.00,1.1456e-06
905.00,8.7672e-07
906.00,8.7935e-07
907.00,1.1671e-06
908.00,9.7365e-07
909.00,8.8904e-07
910.00,9.6075e-07
911.00,1.1032e-06
912.00,8.7586e-07
913.00,9.4961e-07
914.00,1.0174e-06
915.00,1.0406e-06
916.00,9.2717e-07
917.00,9.3149e-07
918.00,9.2753e-07
919.00,9.9997e-07
920.00,9.8634e-07
921.00,8.4225e-07
922.00,9.6575e-07
923.00,1.0971e-06
924.00,1.1147e-06
925.00,7.9987e-07
926.00,9.5522e-07
927.00,9.2900e-07
928.00,8.6906e-07
929.00,9.3589e-07
930.00,1.1627e-06
931.00,1.0582e-06
932.00,8.6885e-07
933.00,9.7392e-07
934.00,1.1712e-06
935.00,8.8841e-07
936.00,1.1898e-06
937.00,7.9789e-07
938.00,9.8520e-07
939.00,8.9355e-07
940.00,9.2202e-07
941.00,7.2888e-07
942.00,1.1119e-06
943.00,8.1813e-07
944.00,7.5381e-07
945.00,7.1259e-07
946.00,6.8946e-07
947.00,9.0701e-07
948.00,9.0222e-07
949.00,1.0162e-06
950.00,8.5235e-07
951.00,7.2150e-07
952.00,7.0606e-07
953.00,8.1312e-07
954.00,8.5446e-07
955.00,9.8217e-07
956.00,6.9101e-07
957.00,1.0388e-06
958.00,9.7378e-07
959.00,1.0485e-06
960.00,1.0382e-06
961.00,9.4869e-07
962.00,1.2011e-06
963.00,8.2462e-07
964.00,1.0958e-06
965.00,1.0557e-06
966.00,1.0867e-06
967.00,1.0384e-06
968.00,1.0081e-06
969.00,7.6312e-07
970.00,9.4982e-07
971.00,9.5360e-07
972.00,8.4637e-07
973.00,1.0153e-06
974.00,1.0248e-06
975.00,9.8981e-07
976.00,1.0968e-06
977.00,9.7269e-07
978.00,9.0508e-07
979.00,8.3393e-07
980.00,8.7881e-07
981.00,1.0124e-06
982.00,8.2977e-07
983.00,9.4484e-07
984.00,9.3928e-07
985.00,8.0712e-07
986.00,8.1125e-07
987.00,9.3790e-07
988.00,8.2879e-07
989.00,8.2289e-07
990.00,9.0425e-07
991.00,7.6215e-07
992.00,1.0566e-06
993.00,8.8657e-07
994.00,1.1316e-06
995.00,1.0223e-06
996.00,1.2816e-06
997.00,8.9261e-07
998.00,8.8082e-07
999.00,1.0037e-06
1000.00,1.1132e-06
1001.00,8.8309e-07
1002.00,8.7882e-07
1003.00,7.7924e-07
1004.00,9.5149e-07
1005.00,8.0223e-07
1006.00,8.7947e-07
1007.00,9.1284e-07
1008.00,8.5996e-07
1009.00,8.7402e-07
1010.00,8.7480e-07
1011.00,1.1443e-06
1012.00,9.2998e-07
1013.00,1.2097e-06
1014.00,9.3825e-07
1015.00,8.0914e-07
1016.00,1.0002e-06
1017.00,8.3380e-07
1018.00,7.8171e-07
1019.00,9.4885e-07
1020.00,8.8797e-07
1021.00,8.0877e-07
1022.00,9.6433e-07
1023.00,1.1813e-06
1024.00,1.0592e-06
1025.00,8.6880e-07
1026.00,7.6909e-07
1027.00,8.7553e-07
1028.00,9.6006e-07
1029.00,9.3836e-07
1030.00,7.5131e-07
1031.00,1.1101e-06
1032.00,1.1996e-06
1033.00,1.0303e-06
1034.00,9.0841e-07
1035.00,8.0747e-07
1036.00,1.0384e-06
1037.00,1.0567e-06
1038.00,8.8113e-07
1039.00,9.5088e-07
1040.00,9.3071e-07
1041.00,9.8857e-07
1042.00,8.5546e-07
1043.00,7.2856e-07
1044.00,8.4791e-07
1045.00,1.1097e-06
1046.00,1.0090e-06
1047.00,9.7763e-07
1048.00,9.0138e-07
1049.00,6.7570e-07
1050.00,1.0401e-06
1051.00,1.0273e-06
1052.00,1.0066e-06
1053.00,7.4441e-07
1054.00,9.1145e-07
1055.00,1.0708e-06
1056.00,8.0531e-07
1057.00,1.1271e-06
1058.00,7.6475e-07
1059.00,9.7408e-07
1060.00,7.5245e-07
1061.00,9.8057e-07
1062.00,1.1166e-06
1063.00,8.7930e-07
1064.00,1.0430e-06
1065.00,9.4955e-07
1066.00,8.7853e-07
1067.00,9.8257e-07
1068.00,9.3024e-07
1069.00,8.5608e-07
1070.00,8.5234e-07
1071.00,1.0779e-06
1072.00,1.0419e-06
1073.00,1.0088e-06
1074.00,9.7747e-07
1075.00,7.7659e-07
1076.00,7.2071e-07
1077.00,1.0943e-06
1078.00,9.4463e-07
1079.00,8.3415e-07
1080.00,1.1293e-06
1081.00,1.2478e-06
1082.00,9.1595e-07
1083.00,9.4225e-07
1084.00,8.0372e-07
1085.00,8.2982e-07
1086.00,8.7480e-07
1087.00,1.2007e-06
1088.00,8.2568e-07
1089.00,9.2835e-07
1090.00,7.5812e-07
1091.00,8.3756e-07
1092.00,1.1638e-06
1093.00,1.0178e-06
1094.00,1.0210e-06
1095.00,9.7654e-07
1096.00,1.0592e-06
1097.00,9.3845e-07
1098.00,7.9415e-07
1099.00,8.8089e-07
1100.00,1.0800e-06
1101.00,8.2904e-07
1102.00,8.5973e-07
1103.00,8.3347e-07
1104.00,8.8153e-07
1105.00,8.8574e-07
1106.00,7.8236e-07
1107.00,8.6040e-07
1108.00,7.6707e-07
1109.00,8.0508e-07
1110.00,8.1873e-07
1111.00,7.9116e-07
1112.00,7.0236e-07
1113.00,9.5733e-07
1114.00,9.5339e-07
1115.00,1.1028e-06
1116.00,7.9787e-07
1117.00,1.1677e-06
1118.00,7.0565e-07
1119.00,9.6453e-07
1120.00,1.0075e-06
1121.00,8.8342e-07
1122.00,1.0303e-06
1123.00,1.0331e-06
1124.00,1.1337e-06
1125.00,9.7545e-07
1126.00,1.0323e-06
1127.00,8.1248e-07
1128.00,1.0441e-06
1129.00,7.1608e-07
1130.00,9.0624e-07
1131.00,8.3560e-07
1132.00,7.7357e-07
1133.00,9.2502e-07
1134.00,1.1475e-06
1135.00,1.1531e-06
1136.00,9.6206e-07
1137.00,8.4773e-07
1138.00,7.3117e-07
1139.00,7.1144e-07
1140.00,9.8637e-07
1141.00,1.0595e-06
1142.00,8.5234e-07
1143.00,9.5284e-07
1144.00,9.5089e-07
1145.00,9.1873e-07
1146.00,9.2014e-07
1147.00,7.8699e-07
1148.00,8.9920e-07
1149.00,9.9073e-07
1150.00,1.0490e-06
1151.00,8.6446e-07
1152.00,8.1927e-07
1153.00,7.2754e-07
