 3.11594712e+01 -1.10357438e+02  3.11594712e+01 -1.10427531e+02  3.11594712e+01 -1.62915017e+00  3.11594712e+01 -1.62947279e+00 
 3.13394131e+01 -1.10256427e+02  3.13394131e+01 -1.10326520e+02  3.13394131e+01 -1.62923288e+00  3.13394131e+01 -1.62955923e+00 
 3.15203941e+01 -1.10155404e+02  3.15203941e+01 -1.10225498e+02  3.15203941e+01 -1.62931656e+00  3.15203941e+01 -1.62964667e+00 
 3.17024203e+01 -1.10054370e+02  3.17024203e+01 -1.10124464e+02  3.17024203e+01 -1.62940120e+00  3.17024203e+01 -1.62973513e+00 
 3.18854977e+01 -1.09953325e+02  3.18854977e+01 -1.10023419e+02  3.18854977e+01 -1.62948682e+00  3.18854977e+01 -1.62982462e+00 
 3.20696323e+01 -1.09852269e+02  3.20696323e+01 -1.09922362e+02  3.20696323e+01 -1.62957344e+00  3.20696323e+01 -1.62991514e+00 
 3.22548302e+01 -1.09751200e+02  3.22548302e+01 -1.09821294e+02  3.22548302e+01 -1.62966106e+00  3.22548302e+01 -1.63000671e+00 
 3.24410977e+01 -1.09650120e+02  3.24410977e+01 -1.09720214e+02  3.24410977e+01 -1.62974970e+00  3.24410977e+01 -1.63009935e+00 
 3.26284408e+01 -1.09549028e+02  3.26284408e+01 -1.09619122e+02  3.26284408e+01 -1.62983937e+00  3.26284408e+01 -1.63019306e+00 
 3.28168658e+01 -1.09447924e+02  3.28168658e+01 -1.09518019e+02  3.28168658e+01 -1.62993008e+00  3.28168658e+01 -1.63028785e+00 
 3.30063790e+01 -1.09346808e+02  3.30063790e+01 -1.09416903e+02  3.30063790e+01 -1.63002184e+00  3.30063790e+01 -1.63038375e+00 
 3.31969865e+01 -1.09245679e+02  3.31969865e+01 -1.09315774e+02  3.31969865e+01 -1.63011467e+00  3.31969865e+01 -1.63048076e+00 
 3.33886948e+01 -1.09144538e+02  3.33886948e+01 -1.09214633e+02  3.33886948e+01 -1.63020857e+00  3.33886948e+01 -1.63057889e+00 
 3.35815102e+01 -1.09043385e+02  3.35815102e+01 -1.09113480e+02  3.35815102e+01 -1.63030356e+00  3.35815102e+01 -1.63067816e+00 
 3.37754390e+01 -1.08942219e+02  3.37754390e+01 -1.09012314e+02  3.37754390e+01 -1.63039966e+00  3.37754390e+01 -1.63077859e+00 
